time;kolejka pasazerow lotnisko;kolejka hotel1;kolejka hotel2;kolejka hotel3;kolejka hotel4;kolejka autobusow na lotnisku
651.315;738;0;1;2;2;0
652.374;750;0;1;2;2;0
652.655;750;0;1;0;2;0
652.837;750;0;2;0;2;0
656.468;735;0;2;0;2;0
657.557;746;0;2;0;2;0
657.559;746;0;3;0;2;0
658.127;746;0;3;0;3;0
659.369;746;0;3;0;4;0
659.688;746;0;3;0;4;0
661.148;756;0;3;0;4;0
663.24;756;0;3;0;0;0
663.385;756;0;3;0;1;0
664.014;756;0;3;1;1;0
665.505;756;0;3;2;1;0
666.778;756;0;0;2;1;0
668.269;756;0;0;2;0;0
669.371;766;0;0;2;0;0
669.906;766;1;0;2;0;0
672.883;766;0;0;2;0;0
673.293;775;0;0;2;0;0
673.439;775;0;0;2;0;0
676.995;785;0;0;2;0;0
677.396;785;0;1;2;0;0
677.745;785;0;1;3;0;0
678.135;785;0;1;4;0;0
678.25;785;0;1;5;0;0
678.745;797;0;1;5;0;0
679.948;782;0;1;5;0;0
680.532;782;1;1;5;0;0
681.112;782;1;1;5;0;1
681.371;782;1;1;6;0;1
681.391;782;1;1;0;0;1
683.181;793;1;1;0;0;1
684.948;778;1;1;0;0;0
686.247;778;1;0;0;0;0
686.252;778;1;0;1;0;0
687.878;778;1;0;1;0;1
688.665;778;2;0;1;0;1
689.948;763;2;0;1;0;0
690.1;763;2;0;1;1;0
693.357;763;0;0;1;1;0
693.49;763;0;0;1;2;0
693.742;763;0;0;1;3;0
694.584;772;0;0;1;3;0
695.073;772;0;0;1;0;0
696.186;772;0;0;1;1;0
696.346;772;0;0;2;1;0
698.211;782;0;0;2;1;0
699.224;782;0;0;2;2;0
699.482;782;0;0;2;2;0
699.59;782;0;1;2;2;0
699.884;782;1;1;2;2;0
700.173;782;1;1;0;2;0
700.286;782;1;1;1;2;0
701.242;792;1;1;1;2;0
701.647;792;2;1;1;2;0
702.754;803;2;1;1;2;0
703.498;813;2;1;1;2;0
704.412;813;0;1;1;2;0
704.977;823;0;1;1;2;0
707.26;823;0;1;2;2;0
708.003;823;0;0;2;2;0
708.308;823;0;0;3;2;0
710.1;823;0;0;4;2;0
710.692;823;0;0;4;3;0
712.498;808;0;0;4;3;0
713.171;808;0;1;4;3;0
713.274;808;0;0;4;3;0
713.33;818;0;0;4;3;0
713.864;818;0;0;4;4;0
713.894;828;0;0;4;4;0
713.986;828;0;0;4;5;0
714.142;828;0;0;5;5;0
715.072;839;0;0;5;5;0
715.273;839;0;1;5;5;0
715.576;839;0;1;6;5;0
717.008;839;0;1;6;6;0
717.027;839;0;1;6;0;0
717.927;839;0;1;6;1;0
718.614;839;0;0;6;1;0
719.131;839;0;0;6;2;0
719.302;839;0;0;6;3;0
721.08;839;0;0;6;4;0
724.125;849;0;0;6;4;0
724.87;849;0;0;0;4;0
724.958;849;1;0;0;4;0
725.174;849;1;1;0;4;0
726.833;849;1;1;0;5;0
727.753;849;1;1;0;5;0
727.825;849;1;2;0;5;0
727.868;858;1;2;0;5;0
728.855;858;0;2;0;5;0
732.483;858;0;2;1;5;0
732.945;843;0;2;1;5;0
734.39;843;0;3;1;5;0
734.668;854;0;3;1;5;0
735.216;854;0;3;0;5;0
735.254;854;0;3;1;5;0
735.29;854;0;3;2;5;0
737.242;854;0;3;3;5;0
738.716;865;0;3;3;5;0
739.22;865;0;3;3;0;0
740.005;865;0;3;3;1;0
740.551;865;0;3;3;2;0
741.239;865;0;3;3;3;0
741.773;865;0;0;3;3;0
742.638;865;0;0;3;0;0
744.016;865;0;1;3;0;0
744.743;865;0;1;4;0;0
747.747;865;0;1;4;0;0
748.94;865;0;2;4;0;0
749.186;865;0;3;4;0;0
749.209;876;0;3;4;0;0
750.71;876;0;3;4;1;0
751.94;876;0;3;4;0;0
